date,HighPrice
2020-02-18,187.7000
2020-02-14,185.4100
2020-02-13,186.2300
2020-02-12,185.8500
2020-02-11,190.7000
2020-02-10,188.8400
2020-02-07,185.6300
2020-02-06,183.8199
2020-02-05,184.2000
2020-02-04,180.6400
2020-02-03,174.5000
2020-01-31,172.4000
2020-01-30,174.0500
2020-01-29,168.7500
2020-01-28,165.7550
2020-01-27,163.3750
2020-01-24,167.5300
2020-01-23,166.8000
2020-01-22,167.4900
2020-01-21,168.1900
2020-01-17,167.4675
2020-01-16,166.2400
2020-01-15,163.9400
2020-01-14,163.6000
2020-01-13,163.3100
2020-01-10,163.2200
2020-01-09,162.2150
2020-01-08,160.8000
2020-01-07,159.6700
2020-01-06,159.1000
2020-01-03,159.9450
2020-01-02,160.7300
2019-12-31,157.7700
2019-12-30,159.0200
2019-12-27,159.5500
2019-12-26,158.7300
2019-12-24,157.7100
2019-12-23,158.1200
2019-12-20,158.4900
2019-12-19,155.7700
2019-12-18,155.4800
2019-12-17,155.7100
2019-12-16,155.9000
2019-12-13,154.8900
2019-12-12,153.4400
2019-12-11,151.8700
2019-12-10,151.8900
2019-12-09,152.2100
2019-12-06,151.8700
2019-12-05,150.3200
2019-12-04,150.1799
2019-12-03,149.4300
2019-12-02,151.8300
2019-11-29,152.3000
2019-11-27,152.5000
2019-11-26,152.4200
2019-11-25,151.3500
2019-11-22,150.3000
2019-11-21,149.8000
2019-11-20,150.8400
2019-11-19,151.3300
2019-11-18,150.5500
2019-11-15,149.9900
2019-11-14,148.4100
2019-11-13,147.4625
2019-11-12,147.5700
2019-11-11,146.4200
2019-11-08,145.9900
2019-11-07,144.8800
2019-11-06,144.5200
2019-11-05,145.0200
2019-11-04,145.0000
2019-11-01,144.4200
2019-10-31,144.9300
2019-10-30,145.0000
2019-10-29,144.5000
2019-10-28,145.6700
2019-10-25,141.1400
2019-10-24,140.4200
2019-10-23,137.4500
2019-10-22,140.0100
2019-10-21,138.5000
2019-10-18,140.0000
2019-10-17,141.4200
2019-10-16,140.9900
2019-10-15,141.7900
2019-10-14,140.2900
2019-10-11,141.0300
2019-10-10,139.6699
2019-10-09,138.7000
2019-10-08,137.7600
2019-10-07,138.1800
2019-10-04,138.2500
2019-10-03,136.7500
2019-10-02,136.3700
2019-10-01,140.2500
2019-09-30,139.2150
2019-09-27,140.3600
2019-09-26,140.1800
2019-09-25,139.9580
2019-09-24,140.6900
2019-09-23,139.6300
2019-09-20,141.6500
2019-09-19,142.3700
2019-09-18,138.6700
2019-09-17,137.5200
2019-09-16,136.7000
2019-09-13,138.0600
2019-09-12,138.4200
2019-09-11,136.2700
2019-09-10,136.8862
2019-09-09,139.7500
2019-09-06,140.1800
2019-09-05,140.3837
2019-09-04,137.6900
2019-09-03,137.2000
