date,LowPrice
2020-02-18,185.5000
2020-02-14,182.6500
2020-02-13,182.8720
2020-02-12,181.8500
2020-02-11,183.5000
2020-02-10,183.2500
2020-02-07,182.4800
2020-02-06,180.0590
2020-02-05,178.4101
2020-02-04,176.3100
2020-02-03,170.4000
2020-01-31,169.5800
2020-01-30,170.7900
2020-01-29,165.6900
2020-01-28,163.0730
2020-01-27,160.2000
2020-01-24,164.4500
2020-01-23,165.2700
2020-01-22,165.6800
2020-01-21,166.4300
2020-01-17,165.4300
2020-01-16,164.0300
2020-01-15,162.5700
2020-01-14,161.7200
2020-01-13,161.2600
2020-01-10,161.1800
2020-01-09,161.0300
2020-01-08,157.9491
2020-01-07,157.3200
2020-01-06,156.5100
2020-01-03,158.0600
2020-01-02,158.3300
2019-12-31,156.4500
2019-12-30,156.7300
2019-12-27,158.2200
2019-12-26,157.4000
2019-12-24,157.1150
2019-12-23,157.2700
2019-12-20,156.2900
2019-12-19,153.7500
2019-12-18,154.1800
2019-12-17,154.4500
2019-12-16,154.8200
2019-12-13,152.8300
2019-12-12,151.0200
2019-12-11,150.3300
2019-12-10,150.7650
2019-12-09,150.9100
2019-12-06,150.2700
2019-12-05,149.4800
2019-12-04,149.2000
2019-12-03,146.6500
2019-12-02,148.3200
2019-11-29,151.2800
2019-11-27,151.5200
2019-11-26,151.3200
2019-11-25,149.9200
2019-11-22,148.8200
2019-11-21,148.5010
2019-11-20,148.4600
2019-11-19,150.1950
2019-11-18,148.9800
2019-11-15,148.2700
2019-11-14,147.0000
2019-11-13,146.2800
2019-11-12,146.0600
2019-11-11,144.7300
2019-11-08,143.7600
2019-11-07,143.7700
2019-11-06,143.2000
2019-11-05,143.9050
2019-11-04,144.1600
2019-11-01,142.9650
2019-10-31,142.9900
2019-10-30,142.7900
2019-10-29,142.6500
2019-10-28,143.5100
2019-10-25,139.2000
2019-10-24,138.6700
2019-10-23,135.6100
2019-10-22,136.2600
2019-10-21,137.0100
2019-10-18,136.5600
2019-10-17,139.0200
2019-10-16,139.5300
2019-10-15,139.8100
2019-10-14,139.5200
2019-10-11,139.5000
2019-10-10,138.2500
2019-10-09,136.9700
2019-10-08,135.6200
2019-10-07,137.0200
2019-10-04,136.4200
2019-10-03,133.2200
2019-10-02,133.5799
2019-10-01,137.0000
2019-09-30,137.7800
2019-09-27,136.6450
2019-09-26,138.4400
2019-09-25,136.0300
2019-09-24,136.8800
2019-09-23,138.4400
2019-09-20,138.2500
2019-09-19,140.0736
2019-09-18,136.5299
2019-09-17,136.4250
2019-09-16,135.6600
2019-09-13,136.5700
2019-09-12,136.8700
2019-09-11,135.0900
2019-09-10,134.5100
2019-09-09,136.4600
2019-09-06,138.2000
2019-09-05,138.7600
2019-09-04,136.4800
2019-09-03,135.7000
2019-08-30,136.2700
2019-08-29,136.9100
2019-08-28,133.5500
2019-08-27,134.6600
2019-08-26,133.9000
2019-08-23,132.8000
2019-08-22,136.2900
2019-08-21,138.0000
2019-08-20,137.2400
2019-08-19,136.8850
2019-08-16,134.7200
2019-08-15,132.2500
2019-08-14,133.6700
2019-08-13,135.0000
2019-08-12,135.2400
2019-08-09,136.4600
2019-08-08,135.9300
2019-08-07,131.8284
2019-08-06,133.2100
2019-08-05,130.7800
2019-08-02,135.2600
2019-08-01,136.9300
2019-07-31,135.0800
2019-07-30,139.8005
2019-07-29,139.3663
2019-07-26,140.3000
2019-07-25,139.3215
2019-07-24,138.8500
2019-07-23,138.0300
2019-07-22,137.3300
2019-07-19,136.4500
2019-07-18,134.6700
2019-07-17,136.2200
2019-07-16,136.5200
2019-07-15,138.4600
2019-07-12,138.0099
2019-07-11,137.8700
2019-07-10,137.0200
2019-07-09,135.8000
2019-07-08,135.3701
2019-07-05,135.7200
2019-07-03,136.2950
2019-07-02,135.3400
2019-07-01,134.9700
2019-06-28,133.1558
2019-06-27,133.5100
2019-06-26,133.6000
2019-06-25,132.7300
2019-06-24,137.0000
2019-06-21,136.4600
2019-06-20,135.7200
2019-06-19,133.8100
2019-06-18,133.5700
2019-06-17,132.5300
2019-06-14,131.6400
2019-06-13,131.5600
2019-06-12,130.7100
2019-06-11,131.2757
2019-06-10,132.0000
2019-06-07,128.2600
2019-06-06,125.6000
2019-06-05,124.2100
2019-06-04,120.6522
2019-06-03,119.0100
2019-05-31,123.3200
2019-05-30,124.7800
2019-05-29,124.0400
2019-05-28,126.0500
2019-05-24,125.9700
2019-05-23,124.7400
2019-05-22,126.5200
2019-05-21,126.5800
2019-05-20,125.7607
2019-05-17,127.9200
2019-05-16,126.4600
2019-05-15,123.7000
2019-05-14,123.7000
2019-05-13,123.0400
2019-05-10,123.8200
2019-05-09,123.5700
2019-05-08,124.7500
2019-05-07,124.2200
2019-05-06,126.1100
2019-05-03,127.2500
2019-05-02,125.5200
2019-05-01,127.7000
2019-04-30,129.3947
2019-04-29,129.3500
2019-04-26,129.0200
2019-04-25,128.8300
2019-04-24,124.5200
2019-04-23,123.8300
2019-04-22,122.5700
2019-04-18,121.3018
2019-04-17,120.5400
2019-04-16,120.1000
2019-04-15,120.5700
2019-04-12,120.3700
2019-04-11,119.9200
2019-04-10,119.5400
2019-04-09,118.5800
2019-04-08,118.6400
2019-04-05,119.3700
2019-04-04,118.3800
2019-04-03,119.1500
2019-04-02,118.5200
2019-04-01,118.1000
2019-03-29,116.9600
2019-03-28,116.1300
2019-03-27,115.5215
2019-03-26,116.8500
2019-03-25,116.3224
2019-03-22,117.0400
2019-03-21,117.0900
2019-03-20,116.7100
2019-03-19,116.9900
2019-03-18,116.0500
2019-03-15,114.5900
2019-03-14,114.3300
2019-03-13,113.7800
2019-03-12,112.6499
2019-03-11,110.9800
2019-03-08,108.8000
2019-03-07,109.8650
2019-03-06,111.4300
2019-03-05,111.2300
2019-03-04,110.8000
2019-03-01,111.6650
2019-02-28,111.7300
2019-02-27,110.8800
2019-02-26,111.1700
2019-02-25,111.2600
2019-02-22,109.8200
2019-02-21,106.8700
2019-02-20,106.2900
2019-02-19,107.7800
2019-02-15,107.3624
2019-02-14,105.6600
2019-02-13,106.7100
2019-02-12,105.4800
2019-02-11,104.9650
2019-02-08,104.2603
2019-02-07,104.2900
2019-02-06,105.5300
2019-02-05,105.9600
2019-02-04,102.7700
2019-02-01,102.3500
2019-01-31,103.1800
2019-01-30,104.3300
2019-01-29,102.1700
2019-01-28,104.6600
2019-01-25,106.5900
2019-01-24,105.3400
2019-01-23,105.3400
2019-01-22,104.8600
2019-01-18,105.9100
2019-01-17,104.7600
2019-01-16,104.9600
2019-01-15,101.8800
2019-01-14,101.2600
2019-01-11,101.6400
2019-01-10,102.3800
2019-01-09,103.2445
2019-01-08,101.7134
2019-01-07,100.9800
2019-01-04,98.9300
2019-01-03,97.2000
2019-01-02,98.9400
2018-12-31,100.4400
2018-12-28,99.5200
2018-12-27,96.4000
2018-12-26,93.9600
2018-12-24,93.9800
2018-12-21,97.4600
2018-12-20,98.7800
2018-12-19,101.3500
2018-12-18,102.5200
2018-12-17,101.7100
2018-12-14,105.5000
2018-12-13,108.6300
2018-12-12,109.0400
2018-12-11,107.4400
2018-12-10,103.8900
2018-12-07,104.3000
2018-12-06,105.0000
2018-12-04,108.2115
2018-12-03,110.7300
2018-11-30,109.3600
2018-11-29,109.0300
2018-11-28,107.8600
2018-11-27,105.3600
2018-11-26,104.5800
2018-11-23,102.0000
2018-11-21,102.2400
2018-11-20,99.3528
2018-11-19,103.5500
2018-11-16,106.8000
2018-11-15,103.9100
2018-11-14,104.4700
2018-11-13,106.6400
2018-11-12,106.1000
2018-11-09,108.7600
2018-11-08,110.9100
2018-11-07,109.4000
2018-11-06,106.2800
2018-11-05,105.9000
2018-11-02,104.9750
2018-11-01,105.5300
2018-10-31,105.3900
2018-10-30,100.1100
2018-10-29,101.6300
2018-10-26,104.7600
2018-10-25,106.1500
2018-10-24,101.5901
2018-10-23,105.1100
2018-10-22,108.2400
2018-10-19,108.2100
2018-10-18,107.8300
2018-10-17,109.5482
2018-10-16,108.9500
2018-10-15,106.9468
2018-10-12,107.1200
2018-10-11,104.2000
2018-10-10,105.7900
2018-10-09,110.8000
2018-10-08,109.3400
2018-10-05,110.6400
2018-10-04,111.6300
2018-10-03,114.9300
2018-10-02,114.4400
2018-10-01,114.7300
2018-09-28,113.6800
2018-09-27,114.2000
2018-09-26,113.7400
2018-09-25,113.7500
2018-09-24,112.2175
2018-09-21,113.5100
2018-09-20,111.9300
2018-09-19,111.0350
2018-09-18,111.7200
2018-09-17,111.8600
2018-09-14,112.4400
2018-09-13,112.1200
2018-09-12,110.5100
2018-09-11,108.8900
2018-09-10,108.3600
2018-09-07,107.2300
2018-09-06,107.5100
2018-09-05,108.1000
2018-09-04,110.2200
2018-08-31,111.5150
2018-08-30,111.4400
