date,OpenPrice
2020-02-18,185.6050
2020-02-14,183.2500
2020-02-13,183.0800
2020-02-12,185.5800
2020-02-11,190.6500
2020-02-10,183.5800
2020-02-07,182.8450
2020-02-06,180.9700
2020-02-05,184.0300
2020-02-04,177.1400
2020-02-03,170.4300
2020-01-31,172.2100
2020-01-30,174.0500
2020-01-29,167.8400
2020-01-28,163.7800
2020-01-27,161.1500
2020-01-24,167.5100
2020-01-23,166.1900
2020-01-22,167.4000
2020-01-21,166.6800
2020-01-17,167.4200
2020-01-16,164.3500
2020-01-15,162.6200
2020-01-14,163.3900
2020-01-13,161.7600
2020-01-10,162.8235
2020-01-09,161.8350
2020-01-08,158.9300
2020-01-07,159.3200
2020-01-06,157.0800
2020-01-03,158.3200
2020-01-02,158.7800
2019-12-31,156.7700
2019-12-30,158.9865
2019-12-27,159.4500
2019-12-26,157.5511
2019-12-24,157.4800
2019-12-23,158.1200
2019-12-20,157.3500
2019-12-19,154.0000
2019-12-18,154.3000
2019-12-17,155.4500
2019-12-16,155.1100
2019-12-13,153.1106
2019-12-12,151.6500
2019-12-11,151.5400
2019-12-10,151.2900
2019-12-09,151.0700
2019-12-06,150.9900
2019-12-05,150.0500
2019-12-04,150.1400
2019-12-03,147.4900
2019-12-02,151.8100
2019-11-29,152.1000
2019-11-27,152.3300
2019-11-26,151.3600
2019-11-25,150.0000
2019-11-22,150.0700
2019-11-21,149.4000
2019-11-20,150.3100
2019-11-19,150.8800
2019-11-18,150.0700
2019-11-15,148.9300
2019-11-14,147.0200
2019-11-13,146.7400
2019-11-12,146.2800
2019-11-11,145.3400
2019-11-08,143.9800
2019-11-07,143.8400
2019-11-06,144.3700
2019-11-05,144.9700
2019-11-04,144.8300
2019-11-01,144.2600
2019-10-31,144.9000
2019-10-30,143.5200
2019-10-29,144.0800
2019-10-28,144.4000
2019-10-25,139.3400
2019-10-24,139.3900
2019-10-23,136.8800
2019-10-22,138.9700
2019-10-21,138.4500
2019-10-18,139.7600
2019-10-17,140.9500
2019-10-16,140.7900
2019-10-15,140.0600
2019-10-14,139.6900
2019-10-11,140.1200
2019-10-10,138.4900
2019-10-09,137.4600
2019-10-08,137.0800
2019-10-07,137.1400
2019-10-04,136.7500
2019-10-03,134.9500
2019-10-02,136.2500
2019-10-01,139.6600
2019-09-30,138.0500
2019-09-27,140.1500
2019-09-26,139.4400
2019-09-25,137.5000
2019-09-24,140.3600
