date,Volume
2020-02-18,27157849
2020-02-14,23149516
2020-02-13,35295834
2020-02-12,47062921
2020-02-11,53159906
2020-02-10,35844267
2020-02-07,33529074
2020-02-06,27751381
2020-02-05,39186324
2020-02-04,36433339
2020-02-03,30149052
2020-01-31,36142690
2020-01-30,51597470
2020-01-29,35127771
2020-01-28,24899940
2020-01-27,32078067
2020-01-24,24918117
2020-01-23,19680766
2020-01-22,24138777
2020-01-21,29223486
2020-01-17,34371659
2020-01-16,23865360
2020-01-15,21417871
2020-01-14,23500783
2020-01-13,18666414
2020-01-10,20733946
2020-01-09,21399951
2020-01-08,27762026
2020-01-07,21881740
2020-01-06,20826702
2020-01-03,21121681
2020-01-02,22634546
2019-12-31,18393383
2019-12-30,16356720
2019-12-27,18414352
2019-12-26,14526927
2019-12-24,8989150
2019-12-23,17726283
2019-12-20,53599613
2019-12-19,25813825
2019-12-18,24132379
2019-12-17,25443527
2019-12-16,24152770
2019-12-13,23850062
2019-12-12,24645366
2019-12-11,18860001
2019-12-10,16481060
2019-12-09,16741350
2019-12-06,16410400
2019-12-05,17880601
2019-12-04,17580617
2019-12-03,25192145
2019-12-02,27473616
2019-11-29,11977300
2019-11-27,15201293
2019-11-26,24635100
2019-11-25,22428585
2019-11-22,15841680
2019-11-21,18576083
2019-11-20,25720060
2019-11-19,23960164
2019-11-18,21554762
2019-11-15,23508807
2019-11-14,19755100
2019-11-13,17444230
2019-11-12,18648712
2019-11-11,14370178
2019-11-08,16752939
2019-11-07,17786715
2019-11-06,16575798
2019-11-05,18250172
2019-11-04,16911999
2019-11-01,33128366
2019-10-31,24605135
2019-10-30,18496591
2019-10-29,20589469
2019-10-28,34912902
2019-10-25,25959724
2019-10-24,37278399
2019-10-23,31380309
2019-10-22,27935270
2019-10-21,20078066
2019-10-18,30650850
2019-10-17,22102797
2019-10-16,20841687
2019-10-15,19917762
2019-10-14,13591639
2019-10-11,25551065
2019-10-10,18396605
2019-10-09,20178482
2019-10-08,26783336
2019-10-07,16601284
2019-10-04,23839548
2019-10-03,26379798
2019-10-02,32001763
2019-10-01,22581929
2019-09-30,18430390
2019-09-27,22498958
2019-09-26,17813512
2019-09-25,22544054
2019-09-24,30016670
2019-09-23,17408374
2019-09-20,40040766
2019-09-19,36095413
2019-09-18,24473386
2019-09-17,17976285
2019-09-16,16731440
2019-09-13,23363057
2019-09-12,27009981
2019-09-11,24726117
2019-09-10,28903378
